,연령별(만)인구현황(기관별),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,행정기관 : 대전광역시 서구 ,,,,,,,,,,,출력일자 :,2025.05.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,통계년월 : 2025년 04월 현재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연령,,서구,,,복수동,,,도마1동,,,도마2동,,,정림동,,,변동,,,용문동,,,탄방동,,,괴정동,,,가장동,,,내동,,,갈마1동,,,갈마2동,,,월평1동,,,월평2동,,,월평3동,,,가수원동,,,도안동,,,관저1동,,,관저2동,,,기성동,,,둔산1동,,,둔산2동,,,만년동,,,둔산3동,,
,,,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비
,80세 ~ 89세,계,"14,058",3.05,62.69,626,2.96,79.37,832,4.55,70.49,893,4.71,66.60,730,4.93,57.33,626,4.99,72.93,570,3.41,58.33,596,2.29,53.61,463,2.54,67.75,510,4.86,71.14,888,4.04,70.44,584,2.80,66.38,476,2.03,67.02,282,2.55,63.01,773,5.81,45.30,513,2.58,61.32,532,5.25,57.86,294,0.81,69.94,504,3.46,58.49,900,1.89,54.91,403,12.08,57.42,439,2.70,73.52,648,1.88,61.60,249,2.08,60.65,727,3.88,56.01
,,남,"5,417",2.40,,277,2.65,,344,3.74,,357,3.78,,266,3.72,,264,4.16,,210,2.60,,208,1.67,,187,2.11,,212,4.21,,367,3.49,,233,2.21,,191,1.62,,109,1.82,,241,3.83,,195,2.01,,195,3.93,,121,0.68,,186,2.74,,319,1.38,,147,8.54,,186,2.31,,247,1.49,,94,1.54,,261,2.91,
,,여,"8,641",3.67,,349,3.27,,488,5.37,,536,5.63,,464,6.06,,362,5.85,,360,4.17,,388,2.87,,276,2.95,,298,5.47,,521,4.54,,351,3.41,,285,2.43,,173,3.44,,532,7.59,,318,3.11,,337,6.53,,173,0.93,,318,4.09,,581,2.38,,256,15.85,,253,3.08,,401,2.23,,155,2.64,,466,4.78,
,90세 ~ 99세,계,"2,359",0.51,33.43,93,0.44,32.86,122,0.67,31.18,134,0.71,32.67,129,0.87,31.63,91,0.73,59.65,93,0.56,43.08,103,0.40,35.53,68,0.37,41.67,80,0.76,40.35,126,0.57,32.63,96,0.46,31.51,71,0.30,29.09,42,0.38,20.00,168,1.26,27.27,114,0.57,28.09,73,0.72,48.98,47,0.13,42.42,77,0.53,24.19,161,0.34,29.84,108,3.24,25.58,63,0.39,36.96,113,0.33,29.89,47,0.39,27.03,140,0.75,40.00
,,남,591,0.26,,23,0.22,,29,0.32,,33,0.35,,31,0.43,,34,0.54,,28,0.35,,27,0.22,,20,0.23,,23,0.46,,31,0.30,,23,0.22,,16,0.14,,7,0.12,,36,0.57,,25,0.26,,24,0.48,,14,0.08,,15,0.22,,37,0.16,,22,1.28,,17,0.21,,26,0.16,,10,0.16,,40,0.45,
,,여,"1,768",0.75,,70,0.66,,93,1.02,,101,1.06,,98,1.28,,57,0.92,,65,0.75,,76,0.56,,48,0.51,,57,1.05,,95,0.83,,73,0.71,,55,0.47,,35,0.70,,132,1.88,,89,0.87,,49,0.95,,33,0.18,,62,0.80,,124,0.51,,86,5.33,,46,0.56,,87,0.48,,37,0.63,,100,1.03,
,100세 ~ 109세,계,47,0.01,17.50,4,0.02,100.00,3,0.02,0.00,6,0.03,20.00,0,0.00,0.00,2,0.02,0.00,2,0.01,0.00,2,0.01,0.00,1,0.01,0.00,1,0.01,0.00,2,0.01,0.00,1,0.00,0.00,0,0.00,0.00,0,0.00,0.00,5,0.04,25.00,0,0.00,0.00,3,0.03,50.00,1,0.00,0.00,1,0.01,0.00,2,0.00,0.00,4,0.12,0.00,2,0.01,0.00,1,0.00,0.00,1,0.01,0.00,3,0.02,0.00
,,남,7,0.00,,2,0.02,,0,0.00,,1,0.01,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1,0.01,,0,0.00,,0,0.00,,1,0.02,,0,0.00,,1,0.02,,0,0.00,,1,0.01,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,
,,여,40,0.02,,2,0.02,,3,0.03,,5,0.05,,0,0.00,,2,0.03,,2,0.02,,2,0.01,,1,0.01,,1,0.02,,2,0.02,,0,0.00,,0,0.00,,0,0.00,,4,0.06,,0,0.00,,2,0.04,,1,0.01,,0,0.00,,2,0.01,,4,0.25,,2,0.02,,1,0.01,,1,0.02,,3,0.03,
,110세 이상,계,2,0.00,100.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,1,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,1,0.01,0.00
,,남,1,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1,0.01,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,
,,여,1,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1,0.01,
